'allen_in’,'allen_out’,'screw_in’,'screw_out’,'null’,'time’
0.05,0.05,0.05,0.05,0.8,0
0.05,0.05,0.05,0.05,0.8,0.5
0.05,0.05,0.05,0.05,0.8,1
0.05,0.05,0.05,0.05,0.8,1.5
0.05,0.05,0.05,0.05,0.8,2
0.05,0.05,0.05,0.05,0.8,2.5
0.05,0.05,0.05,0.05,0.8,3
0.05,0.05,0.05,0.05,0.8,3.5
0.05,0.05,0.05,0.05,0.8,4
0.05,0.05,0.05,0.05,0.8,4.5
0.05,0.05,0.05,0.05,0.8,5
0.05,0.05,0.05,0.05,0.8,5.5
0.05,0.05,0.05,0.05,0.8,6
0.05,0.05,0.05,0.05,0.8,6.5
0.05,0.05,0.05,0.05,0.8,7
0.05,0.05,0.05,0.05,0.8,7.5
0.05,0.05,0.05,0.05,0.8,8
0.05,0.05,0.05,0.05,0.8,8.5
0.05,0.05,0.05,0.05,0.8,9
0.05,0.05,0.05,0.05,0.8,9.5
0.05,0.05,0.05,0.05,0.8,10
0.05,0.05,0.05,0.05,0.8,10.5
0.05,0.05,0.05,0.05,0.8,11
0.05,0.05,0.05,0.05,0.8,11.5
0.05,0.05,0.05,0.05,0.8,12
0.05,0.05,0.05,0.05,0.8,12.5
0.05,0.05,0.05,0.05,0.8,13
0.05,0.05,0.05,0.05,0.8,13.5
0.05,0.05,0.05,0.05,0.8,14
0.05,0.05,0.05,0.05,0.8,14.5
0.05,0.05,0.05,0.05,0.8,15
0.05,0.05,0.05,0.05,0.8,15.5
0.05,0.05,0.05,0.05,0.8,16
0.05,0.05,0.05,0.05,0.8,16.5
0.05,0.05,0.05,0.05,0.8,17
0.05,0.05,0.05,0.05,0.8,17.5
0.05,0.05,0.05,0.05,0.8,18
0.05,0.05,0.05,0.05,0.8,18.5
0.05,0.05,0.05,0.05,0.8,19
0.05,0.05,0.05,0.05,0.8,19.5
0.05,0.05,0.05,0.05,0.8,20
0.05,0.05,0.05,0.05,0.8,20.5
0.05,0.05,0.05,0.05,0.8,21
0.05,0.05,0.05,0.05,0.8,21.5
0.05,0.05,0.05,0.05,0.8,22
0.05,0.05,0.05,0.05,0.8,22.5
0.05,0.05,0.05,0.05,0.8,23
0.05,0.05,0.05,0.05,0.8,23.5
0.05,0.05,0.05,0.05,0.8,24
0.05,0.05,0.05,0.05,0.8,24.5
0.05,0.05,0.05,0.05,0.8,25
0.05,0.05,0.05,0.05,0.8,25.5
0.05,0.05,0.05,0.05,0.8,26
0.05,0.05,0.05,0.05,0.8,26.5
0.05,0.05,0.05,0.05,0.8,27
0.05,0.05,0.05,0.05,0.8,27.5
0.05,0.05,0.05,0.05,0.8,28
0.05,0.05,0.05,0.05,0.8,28.5
0.05,0.05,0.05,0.05,0.8,29
0.05,0.05,0.05,0.05,0.8,29.5
0.05,0.05,0.05,0.05,0.8,30
0.05,0.05,0.8,0.05,0.05,30.5
0.05,0.05,0.8,0.05,0.05,31
0.05,0.05,0.8,0.05,0.05,31.5
0.05,0.05,0.8,0.05,0.05,32
0.05,0.05,0.8,0.05,0.05,32.5
0.05,0.05,0.8,0.05,0.05,33
0.05,0.05,0.8,0.05,0.05,33.5
0.05,0.05,0.8,0.05,0.05,34
0.05,0.05,0.8,0.05,0.05,34.5
0.05,0.05,0.8,0.05,0.05,35
0.05,0.05,0.8,0.05,0.05,35.5
0.05,0.05,0.8,0.05,0.05,36
0.05,0.05,0.8,0.05,0.05,36.5
0.05,0.05,0.8,0.05,0.05,37
0.05,0.05,0.8,0.05,0.05,37.5
0.05,0.05,0.8,0.05,0.05,38
0.05,0.05,0.8,0.05,0.05,38.5
0.05,0.05,0.8,0.05,0.05,39
0.05,0.05,0.8,0.05,0.05,39.5
0.05,0.05,0.8,0.05,0.05,40
0.05,0.05,0.8,0.05,0.05,40.5
0.05,0.05,0.8,0.05,0.05,41
0.05,0.05,0.8,0.05,0.05,41.5
0.05,0.05,0.8,0.05,0.05,42
0.05,0.05,0.8,0.05,0.05,42.5
0.05,0.05,0.8,0.05,0.05,43
0.05,0.05,0.8,0.05,0.05,43.5
0.05,0.05,0.8,0.05,0.05,44
0.05,0.05,0.8,0.05,0.05,44.5
0.05,0.05,0.8,0.05,0.05,45
0.05,0.05,0.8,0.05,0.05,45.5
0.05,0.05,0.8,0.05,0.05,46
0.05,0.05,0.8,0.05,0.05,46.5
0.05,0.05,0.8,0.05,0.05,47
0.05,0.05,0.8,0.05,0.05,47.5
0.05,0.05,0.8,0.05,0.05,48
0.05,0.05,0.8,0.05,0.05,48.5
0.05,0.05,0.8,0.05,0.05,49
0.05,0.05,0.8,0.05,0.05,49.5
0.05,0.05,0.05,0.05,0.8,50
0.05,0.05,0.05,0.05,0.8,50.5
0.05,0.05,0.05,0.05,0.8,51
0.05,0.05,0.05,0.05,0.8,51.5
0.05,0.05,0.05,0.05,0.8,52
0.05,0.05,0.05,0.05,0.8,52.5
0.05,0.05,0.05,0.05,0.8,53
0.05,0.05,0.05,0.05,0.8,53.5
0.05,0.05,0.05,0.05,0.8,54
0.05,0.05,0.8,0.05,0.05,54.5
0.05,0.05,0.8,0.05,0.05,55
0.05,0.05,0.8,0.05,0.05,55.5
0.05,0.05,0.8,0.05,0.05,56
0.05,0.05,0.8,0.05,0.05,56.5
0.05,0.05,0.8,0.05,0.05,57
0.05,0.05,0.8,0.05,0.05,57.5
0.05,0.05,0.8,0.05,0.05,58
