session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_loss_fold_1,tr_loss_fold_2,tr_loss_fold_3,tr_loss_fold_4,tr_loss_fold_5,tr_loss_fold_6,tr_loss_fold_7,tr_loss_fold_8,tr_loss_fold_9,tr_loss_fold_10,tr_loss_fold_11,tr_mse_fold_0,tr_mse_fold_1,tr_mse_fold_2,tr_mse_fold_3,tr_mse_fold_4,tr_mse_fold_5,tr_mse_fold_6,tr_mse_fold_7,tr_mse_fold_8,tr_mse_fold_9,tr_mse_fold_10,tr_mse_fold_11,tr_mae_fold_0,tr_mae_fold_1,tr_mae_fold_2,tr_mae_fold_3,tr_mae_fold_4,tr_mae_fold_5,tr_mae_fold_6,tr_mae_fold_7,tr_mae_fold_8,tr_mae_fold_9,tr_mae_fold_10,tr_mae_fold_11,tr_rmse_fold_0,tr_rmse_fold_1,tr_rmse_fold_2,tr_rmse_fold_3,tr_rmse_fold_4,tr_rmse_fold_5,tr_rmse_fold_6,tr_rmse_fold_7,tr_rmse_fold_8,tr_rmse_fold_9,tr_rmse_fold_10,tr_rmse_fold_11,val_loss_fold_0,val_loss_fold_1,val_loss_fold_2,val_loss_fold_3,val_loss_fold_4,val_loss_fold_5,val_loss_fold_6,val_loss_fold_7,val_loss_fold_8,val_loss_fold_9,val_loss_fold_10,val_loss_fold_11,val_mse_fold_0,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_mse_fold_6,val_mse_fold_7,val_mse_fold_8,val_mse_fold_9,val_mse_fold_10,val_mse_fold_11,val_mae_fold_0,val_mae_fold_1,val_mae_fold_2,val_mae_fold_3,val_mae_fold_4,val_mae_fold_5,val_mae_fold_6,val_mae_fold_7,val_mae_fold_8,val_mae_fold_9,val_mae_fold_10,val_mae_fold_11,val_rmse_fold_0,val_rmse_fold_1,val_rmse_fold_2,val_rmse_fold_3,val_rmse_fold_4,val_rmse_fold_5,val_rmse_fold_6,val_rmse_fold_7,val_rmse_fold_8,val_rmse_fold_9,val_rmse_fold_10,val_rmse_fold_11
1,0,0,0,0,0,0,0,0,0.662577377,0.341818242,0.662577377,0.341818242,0.531445359,0.087538547,0.779759118,0.164603214,120,20,0,2,1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37416181,0.382113582,0.525477254,0.534517964,1.505182986,0.69476146,0.561576756,0.424984008,1.174147335,0.737508926,0.546047017,0.490449426,0.37416181,0.382113582,0.525477254,0.534517964,1.505182986,0.69476146,0.561576756,0.424984008,1.174147335,0.737508926,0.546047017,0.490449426,0.429878986,0.427869311,0.493688037,0.513906285,0.725641484,0.556017244,0.530210223,0.466845397,0.657172038,0.569206853,0.514067435,0.492841016,0.604981686,0.615890571,0.72177302,0.729518958,1.149444729,0.825826079,0.748175987,0.647248681,1.033823138,0.845684285,0.73640513,0.698337146
1,0.501361299,0.025921172,0.501361299,0.025921172,0.475990121,0.010033692,0.683314519,0.015267457,0.455162902,0.283768301,0.455254432,0.283784871,0.49363323,0.095090232,0.636992115,0.163562855,120,20,1,2,1,0.001,0.517105898,0.503594172,0.526203341,0.487203249,0.48708072,0.53416746,0.511642586,0.4510153,0.464713442,0.518874915,0.48895551,0.52577899,0.517105892,0.503594178,0.526203344,0.487203249,0.48708072,0.534167463,0.511642589,0.4510153,0.464713437,0.518874912,0.488955511,0.525778987,0.493091792,0.46686684,0.478793675,0.471217231,0.483984365,0.490083277,0.482170956,0.469744485,0.465434917,0.47560047,0.460242426,0.474651017,0.694060369,0.686797044,0.697372269,0.672716363,0.684741725,0.703405231,0.690738412,0.655709546,0.658491083,0.692575983,0.671690946,0.691475256,0.234645345,0.247097904,0.398828788,0.389515959,1.152829826,0.448920566,0.292614149,0.261834461,0.887712666,0.528145029,0.285765985,0.33404415,0.234700292,0.247083779,0.398828879,0.389897101,1.152690324,0.448918746,0.292739206,0.26198979,0.888258205,0.528111499,0.285705456,0.334129908,0.417152816,0.370100677,0.50333347,0.485852456,0.695358927,0.522316297,0.443728624,0.444886278,0.652696481,0.511256906,0.430827688,0.446088142,0.479747696,0.489232762,0.627711616,0.622633752,1.005536478,0.663687384,0.540280772,0.509997928,0.889596596,0.714265665,0.531807214,0.569407514
1,0.244520868,0.030373109,0.244520867,0.030373109,0.340726788,0.034577948,0.469425185,0.028286648,0.439777232,0.257130107,0.439763088,0.257081896,0.47092228,0.11697174,0.606961134,0.156562062,120,20,2,2,1,0.001,0.304583658,0.223713304,0.263268368,0.20502365,0.249061212,0.288315185,0.2439995,0.204355323,0.250590473,0.245662386,0.232786266,0.222891089,0.304583657,0.223713304,0.263268361,0.20502365,0.249061212,0.288315185,0.2439995,0.204355324,0.250590472,0.245662386,0.232786269,0.222891085,0.411621888,0.310164174,0.345465709,0.312859524,0.369267569,0.385955946,0.342498812,0.32353991,0.358281867,0.314501604,0.306593338,0.30797112,0.52674005,0.45304452,0.48752529,0.432534137,0.486199804,0.504837112,0.471762988,0.437520767,0.470555633,0.468143851,0.448301684,0.445936382,0.214478667,0.453982552,0.324225228,0.410005763,1.05460648,0.394360261,0.304639164,0.167603184,0.77755265,0.596932194,0.342771376,0.236169265,0.214555821,0.454021932,0.324281058,0.40992844,1.054436684,0.39421471,0.304622649,0.167661992,0.777401944,0.597209151,0.342578498,0.236244181,0.364564966,0.519246272,0.433634729,0.446459795,0.701002487,0.521821907,0.440725775,0.312158671,0.624231081,0.545136992,0.417202964,0.324881725,0.46036487,0.653619794,0.54495089,0.598632873,0.944477536,0.617521954,0.526510962,0.401829085,0.80633985,0.726298239,0.541656962,0.461330591
1,0.150577395,0.018600269,0.150577395,0.018600269,0.261942833,0.011557077,0.375098659,0.020222747,0.363412391,0.26846338,0.363407092,0.268433592,0.395347352,0.110877499,0.541822706,0.166514137,120,20,3,2,1,0.001,0.173158279,0.158384194,0.184439743,0.116387836,0.141177189,0.14028708,0.152319865,0.137303628,0.144902639,0.17070812,0.147087375,0.140772789,0.173158279,0.158384196,0.184439743,0.116387835,0.14117719,0.140287081,0.152319865,0.137303628,0.144902638,0.170708123,0.147087374,0.140772788,0.289801763,0.265237044,0.269327517,0.244350756,0.263086221,0.262464804,0.263574596,0.258338591,0.253851536,0.268710926,0.25102264,0.253547601,0.398697173,0.388895688,0.409819002,0.336786861,0.367405328,0.363688458,0.376442175,0.36219993,0.366952793,0.397323332,0.368917769,0.364055395,0.207399793,0.339831918,0.146422755,0.367369094,0.779192701,0.333435894,0.304552657,0.146261792,1.015179191,0.372353746,0.18274227,0.166206886,0.207456029,0.339832443,0.146416712,0.367359891,0.779094882,0.33365653,0.304454669,0.146318607,1.015115068,0.372320717,0.182607674,0.166251885,0.322529948,0.460468258,0.266563139,0.410532456,0.542608007,0.414762317,0.40540563,0.284308938,0.62690707,0.419977439,0.299233106,0.290871915,0.438912409,0.56487946,0.377606809,0.581769759,0.821467627,0.557755515,0.52003895,0.374636339,0.883544938,0.580877963,0.402694813,0.397687886
1,0.105840809,0.012074962,0.105840809,0.012074962,0.227638039,0.009351536,0.31760544,0.016273547,0.317979287,0.202367292,0.317991674,0.202336348,0.379293972,0.081405576,0.521059313,0.146404358,120,20,4,2,1,0.001,0.094780616,0.117056945,0.122353624,0.092246333,0.094946941,0.102254844,0.104906967,0.101225486,0.109520538,0.131118207,0.096676195,0.103003007,0.094780617,0.117056943,0.122353626,0.092246333,0.094946939,0.102254845,0.104906966,0.101225487,0.109520538,0.131118207,0.096676196,0.103003007,0.22044511,0.235618846,0.236336505,0.222074105,0.222046565,0.227188082,0.230975166,0.224802124,0.226823973,0.249028028,0.213091139,0.223226828,0.303554974,0.332823699,0.339088662,0.300588651,0.304279718,0.313842061,0.317787498,0.311707551,0.31954929,0.353074136,0.303025178,0.311943863,0.136615768,0.205705522,0.329941909,0.223133327,0.881190752,0.408179146,0.308005672,0.096193109,0.411132781,0.331709381,0.261830322,0.222113755,0.136642749,0.205691328,0.329916581,0.223127684,0.881109244,0.408168949,0.308012293,0.096183589,0.411089808,0.331688453,0.262192345,0.22207707,0.29549771,0.367832447,0.400129981,0.334492429,0.564499196,0.437635128,0.41985463,0.232513889,0.402065526,0.39544722,0.351563812,0.349995692,0.363375743,0.441410471,0.556794821,0.467179747,0.879546737,0.620040167,0.526217559,0.308505427,0.610123931,0.556474691,0.478783761,0.444258697
1,0.083277077,0.005577867,0.083277077,0.005577867,0.20194322,0.006591578,0.283753024,0.008603217,0.357216405,0.291405622,0.357205609,0.291374289,0.384042153,0.09607498,0.529160267,0.168183499,120,20,5,2,1,0.001,0.075820261,0.087613851,0.088453762,0.078598884,0.079376436,0.082515112,0.083362996,0.081533683,0.082603923,0.096474894,0.078383437,0.084587692,0.075820261,0.087613851,0.088453762,0.078598884,0.079376436,0.082515112,0.083362995,0.081533683,0.082603921,0.096474893,0.078383437,0.084587691,0.196761943,0.209043504,0.207588192,0.199095687,0.201054022,0.207001129,0.204382272,0.198730289,0.201082224,0.212443372,0.188091777,0.198044231,0.272271247,0.292237214,0.292627914,0.277330539,0.278245609,0.28411551,0.28415937,0.280615811,0.282212182,0.302533515,0.274056517,0.284630862,0.149782522,0.27686511,0.219076882,0.207905497,1.148063552,0.29933314,0.377336894,0.12173326,0.714971069,0.270602892,0.262679469,0.238246578,0.149812817,0.276837271,0.219069197,0.207876325,1.147962653,0.299308621,0.377339159,0.121748775,0.714931401,0.270587672,0.262722983,0.238270431,0.306423806,0.397750947,0.331297022,0.309964108,0.597043093,0.36867161,0.458894426,0.268945641,0.521660623,0.349382,0.345144549,0.353328011,0.373332176,0.505465767,0.447711754,0.442125403,0.941579923,0.5353659,0.573675609,0.343085761,0.765034642,0.493754589,0.47059533,0.458196345
1,0.072465209,0.003229114,0.072465209,0.003229114,0.187867367,0.00481474,0.266124715,0.005870716,0.35138743,0.280097879,0.351390347,0.280082856,0.374030906,0.095322725,0.530315026,0.16925119,120,20,6,2,1,0.001,0.066409851,0.076023951,0.073135997,0.072226847,0.070009761,0.072335836,0.07426846,0.072106333,0.071636324,0.079170723,0.069366692,0.072891734,0.066409851,0.07602395,0.073135997,0.072226846,0.07000976,0.072335836,0.07426846,0.072106334,0.071636324,0.079170723,0.069366692,0.072891734,0.180108993,0.194088402,0.188791117,0.187503957,0.185469557,0.192121854,0.191470413,0.187840611,0.185556764,0.194448938,0.179532036,0.187475759,0.254955765,0.273804795,0.268250147,0.26613571,0.262033857,0.266641713,0.269260262,0.265593293,0.263490456,0.276901902,0.259769957,0.266658719,0.121104605,0.184033381,0.223437215,0.262934799,1.145087994,0.351717876,0.363189275,0.139795426,0.59572043,0.332555333,0.277599077,0.219473747,0.121105919,0.184028168,0.223435036,0.262945056,1.145054998,0.351713042,0.363189898,0.1398185,0.595694237,0.332497821,0.277721521,0.219479966,0.252551754,0.33125461,0.32742394,0.347705193,0.598975309,0.399853736,0.454202856,0.268799494,0.464962577,0.377457218,0.335397329,0.329786852,0.338404797,0.417732203,0.451387835,0.50119688,0.957219196,0.57615105,0.563388667,0.36668297,0.719372396,0.548976698,0.481397786,0.441869828
1,0.066280805,0.002992652,0.066280805,0.002992652,0.178207383,0.005134961,0.254704211,0.005847437,0.34526243,0.271302311,0.345263475,0.271258725,0.354870945,0.092419874,0.520404265,0.16882935,120,20,7,2,1,0.001,0.060863298,0.069808514,0.066326058,0.066660332,0.064139683,0.067599314,0.066825248,0.066933342,0.064280866,0.072096587,0.062918967,0.066917457,0.060863297,0.069808515,0.066326058,0.066660331,0.064139683,0.067599314,0.066825247,0.066933343,0.064280867,0.072096587,0.062918967,0.066917457,0.170169515,0.182516182,0.179349995,0.180872947,0.176201119,0.1835759,0.179736379,0.179002376,0.174545009,0.186282837,0.169104434,0.177131908,0.244294081,0.262005607,0.255212803,0.256030887,0.250775651,0.257656314,0.255519444,0.256320514,0.250132077,0.265211298,0.247463653,0.255828199,0.107298277,0.188335492,0.198072575,0.238547347,1.0564727,0.374231521,0.375656752,0.12290453,0.680881987,0.329194261,0.262697649,0.208856073,0.107439472,0.188301298,0.198070659,0.238547979,1.056403176,0.374213069,0.375666784,0.123063715,0.680806936,0.329182819,0.262623467,0.208842327,0.227109772,0.325421029,0.295813336,0.325794066,0.546958152,0.415644138,0.446683125,0.244003644,0.445990384,0.349710414,0.320972654,0.314350632,0.321285594,0.421474201,0.426843443,0.476722542,0.915377385,0.594891616,0.571787303,0.346681199,0.738981237,0.535217103,0.464044106,0.431545458
1,0.061802715,0.002863719,0.061802715,0.002863719,0.169957509,0.004757469,0.246094573,0.005872925,0.325567362,0.27660949,0.325573386,0.276584401,0.338238784,0.098994268,0.503525191,0.176325135,120,20,8,2,1,0.001,0.0572973,0.064931311,0.060982127,0.063324859,0.059731155,0.063990871,0.062410849,0.062918201,0.059112453,0.066864715,0.058120785,0.061947948,0.057297299,0.064931312,0.060982128,0.063324858,0.059731155,0.06399087,0.06241085,0.062918202,0.059112452,0.066864715,0.058120784,0.061947949,0.163958411,0.174827707,0.169201236,0.172530212,0.168571358,0.176379556,0.171341442,0.172342701,0.164788876,0.174595731,0.160844295,0.170108581,0.236770834,0.253079,0.245097313,0.249415498,0.242273516,0.250686541,0.24711402,0.248633015,0.240101365,0.255476366,0.23806628,0.246421126,0.113901441,0.135438491,0.157573758,0.220917491,1.062805014,0.357235681,0.33725271,0.110781211,0.655879216,0.288875701,0.272834515,0.193313113,0.113901047,0.135405943,0.157637243,0.220917962,1.062750616,0.357216555,0.337258767,0.11086266,0.655844671,0.288946404,0.272822732,0.193316028,0.221498988,0.261924925,0.262993958,0.316053407,0.547605974,0.394733021,0.410545147,0.227142342,0.463302474,0.327930326,0.328853615,0.296281238,0.324460162,0.360731129,0.388170695,0.460073423,0.92150625,0.58075157,0.544549117,0.330390421,0.733999998,0.511593876,0.470561154,0.4155145
1,0.05833339,0.002516735,0.058333389,0.002516735,0.163864236,0.004626734,0.239176036,0.005305599,0.316734882,0.284558743,0.316723914,0.284541788,0.327068762,0.10272514,0.4913223,0.182974258,120,20,9,2,1,0.001,0.054114341,0.06066136,0.057926143,0.060032408,0.056854116,0.060254816,0.058664279,0.05996662,0.055975538,0.062392958,0.054769471,0.058388625,0.054114341,0.060661362,0.057926143,0.060032407,0.056854116,0.060254816,0.058664278,0.05996662,0.055975538,0.062392958,0.05476947,0.058388624,0.156821529,0.167258286,0.163233355,0.168387905,0.163197417,0.169869809,0.164543696,0.166735862,0.160437069,0.168044433,0.155036338,0.162805137,0.230062063,0.244531863,0.238686043,0.243023488,0.236407495,0.243380625,0.239699017,0.242616383,0.234222278,0.246825962,0.231283149,0.239374062,0.083567558,0.153890398,0.184711226,0.151944524,1.059593769,0.361277758,0.340628585,0.099583235,0.686121438,0.229595627,0.262382842,0.187521628,0.083578933,0.153869643,0.184711082,0.151926031,1.059531125,0.36126301,0.340631879,0.099600523,0.686099179,0.229567375,0.262386054,0.18752213,0.194677176,0.273276505,0.292836782,0.249224182,0.528170544,0.401607675,0.405885244,0.209173008,0.466767758,0.289195099,0.323731975,0.290279197,0.284204197,0.382957007,0.412928962,0.382908472,0.913994464,0.584261575,0.547899686,0.313827443,0.746157975,0.457231578,0.459605587,0.409890656
