session_num,tr_loss_ave,tr_loss_std,tr_mse_ave,tr_mse_std,tr_mae_ave,tr_mae_std,tr_rmse_ave,tr_rmse_std,val_loss_ave,val_loss_std,val_mse_ave,val_mse_std,val_mae_ave,val_mae_std,val_rmse_ave,val_rmse_std,fc_units,lstm_units,epochs,fc_depth,lstm_depth,lr,tr_loss_fold_0,tr_loss_fold_1,tr_loss_fold_2,tr_loss_fold_3,tr_loss_fold_4,tr_loss_fold_5,tr_loss_fold_6,tr_loss_fold_7,tr_loss_fold_8,tr_loss_fold_9,tr_loss_fold_10,tr_loss_fold_11,tr_mse_fold_0,tr_mse_fold_1,tr_mse_fold_2,tr_mse_fold_3,tr_mse_fold_4,tr_mse_fold_5,tr_mse_fold_6,tr_mse_fold_7,tr_mse_fold_8,tr_mse_fold_9,tr_mse_fold_10,tr_mse_fold_11,tr_mae_fold_0,tr_mae_fold_1,tr_mae_fold_2,tr_mae_fold_3,tr_mae_fold_4,tr_mae_fold_5,tr_mae_fold_6,tr_mae_fold_7,tr_mae_fold_8,tr_mae_fold_9,tr_mae_fold_10,tr_mae_fold_11,tr_rmse_fold_0,tr_rmse_fold_1,tr_rmse_fold_2,tr_rmse_fold_3,tr_rmse_fold_4,tr_rmse_fold_5,tr_rmse_fold_6,tr_rmse_fold_7,tr_rmse_fold_8,tr_rmse_fold_9,tr_rmse_fold_10,tr_rmse_fold_11,val_loss_fold_0,val_loss_fold_1,val_loss_fold_2,val_loss_fold_3,val_loss_fold_4,val_loss_fold_5,val_loss_fold_6,val_loss_fold_7,val_loss_fold_8,val_loss_fold_9,val_loss_fold_10,val_loss_fold_11,val_mse_fold_0,val_mse_fold_1,val_mse_fold_2,val_mse_fold_3,val_mse_fold_4,val_mse_fold_5,val_mse_fold_6,val_mse_fold_7,val_mse_fold_8,val_mse_fold_9,val_mse_fold_10,val_mse_fold_11,val_mae_fold_0,val_mae_fold_1,val_mae_fold_2,val_mae_fold_3,val_mae_fold_4,val_mae_fold_5,val_mae_fold_6,val_mae_fold_7,val_mae_fold_8,val_mae_fold_9,val_mae_fold_10,val_mae_fold_11,val_rmse_fold_0,val_rmse_fold_1,val_rmse_fold_2,val_rmse_fold_3,val_rmse_fold_4,val_rmse_fold_5,val_rmse_fold_6,val_rmse_fold_7,val_rmse_fold_8,val_rmse_fold_9,val_rmse_fold_10,val_rmse_fold_11
1,0,0,0,0,0,0,0,0,0.662679123,0.35514262,0.662679123,0.35514262,0.530889454,0.092207745,0.778221598,0.169090976,120,20,0,2,1,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394479145,0.380083412,0.51238885,0.525839964,1.571593715,0.713161279,0.546964899,0.403766564,1.151060305,0.721395954,0.518922661,0.512492723,0.394479145,0.380083412,0.51238885,0.525839964,1.571593715,0.713161279,0.546964899,0.403766564,1.151060305,0.721395954,0.518922661,0.512492723,0.436091991,0.424113086,0.497756718,0.515742214,0.739522154,0.565635662,0.507715725,0.452437707,0.667706284,0.551572281,0.503307824,0.509071797,0.619117758,0.615078977,0.713936727,0.723222383,1.170091187,0.836141172,0.738524084,0.630554663,1.031307738,0.832040047,0.716465196,0.712179248
1,0.509486042,0.032395853,0.50948604,0.032395852,0.485304503,0.013364721,0.689766449,0.021004346,0.452184216,0.294672013,0.452254883,0.294625742,0.501484191,0.081937905,0.632329498,0.165181339,120,20,1,2,1,0.001,0.505399933,0.529980091,0.51277819,0.508348522,0.460545534,0.524139323,0.566328244,0.476697822,0.464718737,0.549894127,0.491149103,0.523852877,0.505399933,0.529980088,0.512778179,0.508348522,0.460545534,0.524139322,0.566328241,0.476697822,0.464718739,0.54989413,0.491149099,0.523852871,0.488654064,0.487207014,0.489414884,0.487023727,0.475217795,0.479798637,0.517625857,0.486345202,0.462516525,0.492934186,0.472093219,0.484822923,0.684969577,0.70616727,0.693101086,0.688567725,0.665577357,0.692552022,0.729438126,0.674326721,0.655025729,0.714667813,0.67428338,0.698520576,0.248843834,0.243170629,0.312557124,0.364637615,1.215403771,0.449104188,0.322881854,0.237056677,0.839630812,0.547532676,0.274218157,0.371173255,0.248920013,0.243254937,0.312549629,0.364873535,1.215215755,0.449090708,0.323037243,0.237230133,0.839843425,0.54763944,0.27409474,0.371309038,0.438461363,0.423533653,0.477441478,0.497928466,0.673888463,0.50005639,0.472838151,0.43110602,0.643162372,0.534608474,0.420631504,0.504153961,0.491532703,0.492839613,0.557386929,0.600572077,1.022588659,0.665165034,0.566550251,0.483656475,0.860056418,0.726452283,0.519339574,0.601813957
1,0.270485397,0.028260458,0.270485397,0.028260457,0.372198965,0.034884277,0.496539756,0.028790416,0.367918551,0.270393721,0.36792335,0.270335727,0.447784226,0.097674995,0.553951958,0.162250787,120,20,2,2,1,0.001,0.305208244,0.281503736,0.294958123,0.265119688,0.218847841,0.265081324,0.320726918,0.267245263,0.253312714,0.253748631,0.239953076,0.280119206,0.305208244,0.281503738,0.294958124,0.265119684,0.218847842,0.265081322,0.320726918,0.26724526,0.253312714,0.253748631,0.239953082,0.2801192,0.394334124,0.365108634,0.417863992,0.386011671,0.346878038,0.340729984,0.439220756,0.392138142,0.339073506,0.337647246,0.330533093,0.376848397,0.523538432,0.50777975,0.528616832,0.497581406,0.455709249,0.475796727,0.548707271,0.501985287,0.469251985,0.482079373,0.460249261,0.507181504,0.157393544,0.17939893,0.251872906,0.33979042,0.958116373,0.238802335,0.27428982,0.203771589,0.854609045,0.521761358,0.174680952,0.260535342,0.157528716,0.179574033,0.25191136,0.339816988,0.957962773,0.238640592,0.274268718,0.20381335,0.854410514,0.522025066,0.174502665,0.260625421,0.336107954,0.374178213,0.454953952,0.523544156,0.621419435,0.381490197,0.467077355,0.371178071,0.555262856,0.533831907,0.301175434,0.453191187,0.394962673,0.416994772,0.497219561,0.579040945,0.877832079,0.473399254,0.513129073,0.447113778,0.818356435,0.710694037,0.410110611,0.508570279
1,0.167419788,0.021155885,0.167419787,0.021155885,0.283135016,0.021201884,0.394578315,0.021301144,0.353717245,0.365230276,0.353711198,0.365194636,0.379565554,0.144891115,0.524759489,0.202676317,120,20,3,2,1,0.001,0.206000092,0.163224069,0.176174588,0.152741846,0.128679481,0.13869143,0.188490772,0.173403389,0.175718938,0.169454441,0.157163304,0.1792951,0.206000089,0.163224071,0.176174588,0.152741845,0.128679481,0.138691428,0.188490771,0.173403389,0.175718934,0.169454442,0.157163302,0.179295098,0.296896943,0.278000368,0.305331752,0.283264087,0.263359133,0.254185659,0.330642004,0.282753931,0.266568166,0.27006895,0.27092915,0.295620049,0.427354479,0.393383785,0.406788783,0.384558951,0.354411878,0.361302373,0.42118108,0.400358485,0.397526611,0.396494933,0.386070872,0.405507554,0.13639981,0.150657793,0.231381795,0.462028539,1.43693263,0.238470502,0.268898508,0.140126786,0.562662809,0.247937319,0.166727118,0.202383328,0.136468188,0.150691388,0.231376851,0.462019223,1.436843637,0.238694273,0.26883065,0.14019101,0.562549881,0.247900402,0.166523581,0.202445292,0.255508958,0.286848447,0.336455967,0.523713682,0.77034182,0.341515663,0.42346869,0.263200751,0.413392429,0.320689585,0.296710527,0.322940135,0.362026108,0.384238241,0.463394985,0.671549667,1.069884308,0.475269793,0.500956552,0.364993044,0.691332848,0.48495032,0.39353598,0.434982025
1,0.1232393,0.012201531,0.1232393,0.01220153,0.245803379,0.00584557,0.342326568,0.013483567,0.320607799,0.223301484,0.320617944,0.223253547,0.373532858,0.086271225,0.517653679,0.142502629,120,20,4,2,1,0.001,0.135869934,0.130177555,0.108927692,0.119469359,0.10181107,0.114320145,0.118194688,0.127740065,0.147062685,0.129094985,0.119591869,0.126611551,0.135869933,0.130177554,0.108927691,0.119469359,0.10181107,0.114320145,0.118194688,0.127740063,0.147062684,0.129094985,0.119591871,0.12661155,0.24916555,0.255031205,0.243820686,0.248175296,0.234862315,0.240062974,0.250965469,0.240552984,0.25065022,0.243050741,0.24274753,0.250555583,0.357600705,0.354066843,0.327253353,0.341192977,0.315638832,0.330997619,0.339575453,0.345447933,0.363780114,0.348716701,0.337309333,0.346338949,0.11709755,0.147406861,0.275713711,0.371475505,0.957708142,0.290125886,0.361460713,0.201381721,0.45459997,0.235864865,0.257613729,0.176844937,0.117151288,0.147416634,0.275673722,0.371471631,0.957578625,0.290117005,0.361471182,0.201365209,0.454511034,0.23585626,0.258030847,0.176771886,0.241307916,0.317843165,0.328310907,0.465110233,0.562841749,0.343118043,0.457759597,0.32268626,0.376634471,0.347764163,0.400400964,0.318616823,0.3365459,0.380386357,0.487179354,0.601777696,0.877586623,0.521326117,0.570216596,0.43052446,0.619566707,0.481790952,0.495131733,0.409811659
1,0.098220656,0.007094967,0.098220656,0.007094967,0.221681721,0.004867126,0.30749161,0.009418949,0.361627805,0.283335131,0.36161968,0.283293193,0.398110462,0.103015055,0.53637362,0.167842737,120,20,5,2,1,0.001,0.104766819,0.097646129,0.092159887,0.098046095,0.086920205,0.091922446,0.095214479,0.09540025,0.113812312,0.103364352,0.096913584,0.102481313,0.104766818,0.097646129,0.092159888,0.098046095,0.086920207,0.091922446,0.095214479,0.09540025,0.113812312,0.103364352,0.096913584,0.102481313,0.224435902,0.22402097,0.222310039,0.224567913,0.214158883,0.214426385,0.222156366,0.215394184,0.225925558,0.223112249,0.219843733,0.229828465,0.317488765,0.308154087,0.300999712,0.308588044,0.290872097,0.297879845,0.304024119,0.303157167,0.326068832,0.313493712,0.304958652,0.314214286,0.104102086,0.287103093,0.228789642,0.376634191,1.159098814,0.307818281,0.267736487,0.133632007,0.535396506,0.50675798,0.224324967,0.208139601,0.104151941,0.287086155,0.228782338,0.376624639,1.158984261,0.307784361,0.267739855,0.133655933,0.535331026,0.506748813,0.224366615,0.208180219,0.249725581,0.422763848,0.347548163,0.493173051,0.613165767,0.367210341,0.388117864,0.277948912,0.399221645,0.521685084,0.365024855,0.33174043,0.316350228,0.513412201,0.462409979,0.602224288,0.949058278,0.527066735,0.493000727,0.360229011,0.671565087,0.650178873,0.452150944,0.438837085
1,0.083994389,0.004655664,0.083994388,0.004655664,0.204813557,0.004325336,0.286002494,0.006806872,0.327380893,0.264695844,0.327384348,0.264672045,0.376745783,0.09071369,0.513549829,0.15871869,120,20,6,2,1,0.001,0.087278722,0.08326202,0.081127719,0.083986575,0.076511588,0.079869148,0.085655939,0.07933286,0.093634607,0.086158005,0.082485076,0.088630403,0.087278723,0.08326202,0.081127719,0.083986574,0.076511588,0.079869147,0.085655938,0.07933286,0.093634607,0.086158005,0.082485076,0.088630403,0.2058102,0.205525062,0.206213955,0.205847185,0.198085376,0.199376971,0.20697632,0.198664961,0.21029206,0.20321262,0.205852045,0.211905924,0.291566066,0.285526081,0.282464548,0.286982005,0.274005187,0.279483431,0.2884984,0.278648389,0.298321607,0.288476192,0.284442812,0.293615206,0.102856534,0.208667649,0.216605916,0.345582064,1.0971555,0.222054948,0.253036146,0.148767658,0.455294024,0.440217575,0.217523059,0.220809651,0.102862925,0.208664301,0.216604188,0.34559244,1.097108617,0.222049457,0.253037631,0.148802362,0.455251486,0.440165081,0.217656208,0.22081748,0.243156425,0.374894863,0.336188604,0.436101081,0.570848865,0.296999552,0.376004735,0.288770698,0.442335421,0.470951598,0.332794893,0.351902659,0.311696203,0.444461833,0.45092457,0.578107514,0.922778491,0.458381267,0.48048939,0.377482029,0.638510858,0.607006111,0.444362965,0.448396719
1,0.074989362,0.002862692,0.074989362,0.002862692,0.193181455,0.003330054,0.271109128,0.004787035,0.313532306,0.25976925,0.313537442,0.259725014,0.348893839,0.087927932,0.501352062,0.158931694,120,20,7,2,1,0.001,0.075429937,0.074914859,0.07460032,0.075416068,0.069568299,0.072618068,0.077128591,0.07197501,0.077992739,0.076163446,0.073701528,0.080363478,0.075429937,0.074914859,0.074600319,0.075416067,0.069568299,0.072618068,0.077128592,0.071975009,0.077992739,0.076163446,0.073701528,0.080363478,0.191604935,0.194120864,0.194756771,0.195511497,0.188201311,0.189890154,0.194429559,0.189504527,0.195495348,0.192024967,0.192219114,0.200418411,0.271796167,0.271759572,0.270809176,0.272738737,0.26181648,0.266809974,0.274318165,0.266110499,0.275366053,0.272578207,0.26896347,0.280243038,0.098313521,0.192551811,0.198916444,0.388030877,1.061120483,0.216090745,0.201758956,0.147707929,0.474995359,0.376159233,0.204113858,0.202628461,0.098514909,0.192519255,0.198914818,0.388031444,1.061048233,0.216068596,0.201776561,0.147883776,0.474902133,0.376150454,0.204030644,0.202608477,0.216531393,0.350465341,0.304555375,0.461812017,0.543165992,0.293371612,0.322302165,0.268721951,0.374081138,0.401789976,0.313363411,0.336565693,0.307440927,0.43005155,0.434006551,0.611837158,0.907079181,0.450712539,0.434793853,0.376189086,0.620129495,0.584070898,0.428413452,0.431500053
1,0.069436088,0.002094123,0.069436088,0.002094123,0.183865697,0.002647703,0.260970605,0.003666822,0.311257061,0.265404692,0.311261814,0.265379669,0.338861476,0.08697619,0.496539874,0.161819691,120,20,8,2,1,0.001,0.07054931,0.069092693,0.069616623,0.070600345,0.064841132,0.068691943,0.071508868,0.067813205,0.068929878,0.07062202,0.067930176,0.073036862,0.070549311,0.069092694,0.069616623,0.070600345,0.064841133,0.068691942,0.071508869,0.067813205,0.068929877,0.070622021,0.067930176,0.073036862,0.183216612,0.184127613,0.185729891,0.18627698,0.180253315,0.18231891,0.186419003,0.181244766,0.181927386,0.182988145,0.182382864,0.189502876,0.262582879,0.260725689,0.261829055,0.263669633,0.25301949,0.259446007,0.264491026,0.258236537,0.259373944,0.262731969,0.258316517,0.267224508,0.090195255,0.152676106,0.179832661,0.351861911,1.084829695,0.269584478,0.206247021,0.15129743,0.451800017,0.377619055,0.197387682,0.221753425,0.0901981,0.152643098,0.179903827,0.351862678,1.084766608,0.269554641,0.20625944,0.151396089,0.451736043,0.377686111,0.197375259,0.221759874,0.20359582,0.307252204,0.286629009,0.428785196,0.543035225,0.313961167,0.31489084,0.266492122,0.372471597,0.388147245,0.301122872,0.33995442,0.294526693,0.385501097,0.415981988,0.579456444,0.916978587,0.492009487,0.438934961,0.380076926,0.607173625,0.581679458,0.420353534,0.445805687
1,0.065496804,0.001962352,0.065496804,0.001962352,0.177164275,0.002387396,0.253597752,0.003579741,0.312004644,0.276463211,0.311994186,0.276441556,0.334038229,0.090207346,0.494870869,0.168322476,120,20,9,2,1,0.001,0.065507419,0.065153482,0.066544149,0.066972895,0.061359293,0.065056236,0.067645936,0.064405777,0.064343107,0.066414682,0.063784853,0.068773819,0.06550742,0.065153482,0.066544149,0.066972896,0.061359293,0.065056236,0.067645936,0.064405777,0.064343107,0.066414682,0.063784854,0.068773818,0.174772138,0.17703743,0.179646759,0.179464653,0.174755333,0.175988946,0.178883475,0.175543243,0.175219387,0.17670474,0.175648517,0.182306677,0.253464215,0.253367364,0.255811464,0.257038264,0.246150923,0.25263908,0.257200559,0.251497621,0.251077466,0.254826737,0.250673137,0.259426193,0.085998716,0.185311035,0.176042341,0.339501816,1.098648438,0.228762569,0.193645349,0.15499422,0.543164047,0.370746323,0.175557403,0.191683473,0.086019296,0.18528885,0.176041996,0.339476048,1.09858343,0.228743737,0.193655272,0.155015578,0.543133491,0.370724577,0.175561374,0.191686582,0.192589503,0.327125286,0.280318223,0.41637984,0.539550694,0.292336552,0.296887846,0.266785885,0.396482964,0.39402011,0.287385891,0.318595952,0.287492663,0.423857465,0.409909382,0.568099016,0.923902396,0.458058369,0.426939145,0.383827691,0.654689837,0.584497719,0.398723156,0.41845359
