date,time,screw_in,allen_in,hammer,hand_screw_in
2022-02-09,17:06:34.648947,2.16666666666667,13.5,13.75,31.0
2022-02-09,17:29:52.954613,18.25,49.0,27.0,30.5
2022-02-10,11:15:46.673420,3.16666666666667,15.0,13.75,30.5
2022-02-10,11:33:41.879956,15.25,41.5,22.5,18.75
2022-03-07,14:31:20.865618,15.75,19.5,4.75,7.25
2022-03-07,16:32:55.370356,21.75,18.5,8.5,17.5
2022-03-07,16:47:49.206063,20.5,12.5,3.5,9.25
2022-03-07,18:38:52.749789,4.0,5.25,7.75,23.0
2022-03-07,18:54:30.751933,3.75,3.0,13.0,14.0
2022-03-08,11:00:20.952929,3.08333333333333,9.5,7.75,25.5
2022-03-08,11:16:10.926965,17.0,6.0,15.75,8.75
2022-03-08,11:31:51.374379,17.75,11.0,14.0,9.0
2022-03-08,11:40:03.214081,3.75,7.5,12.5,27.0
2022-03-08,15:52:26.937262,5.0,5.75,8.25,20.0
2022-03-08,16:49:53.209022,17.75,2.5,5.75,2.0
2022-03-08,17:04:41.460167,4.083333333333333,4.5,5.25,2.5
2022-03-08,17:15:16.961638,12.75,10.0,10.75,2.5
2022-03-08,17:29:47.795986,3.8333333333333335,4.5,6.5,5.5
2022-03-08,17:38:23.361528,17.25,7.5,5.25,3.0
