action_no,action_id,action_name,default_time,user_type,prev_dependent
0,4,bring_side_1,00:00:00.25,robot,f
1,0,screw_in,00:00:15,human,t
2,0,screw_in,00:00:15,human,f
3,5,bring_side_2,00:00:00.3,robot,f
4,0,screw_in,00:00:15,human,t
5,0,screw_in,00:00:15,human,f
6,0,screw_in,00:00:15,human,f
7,6,bring_side_3,00:00:00.35,robot,f
8,0,screw_in,00:00:15,human,t
9,0,screw_in,00:00:15,human,f
10,0,screw_in,00:00:15,human,f
11,7,bring_side_4,00:00:00.4,robot,f
12,0,screw_in,00:00:15,human,t
13,0,screw_in,00:00:15,human,f
14,0,screw_in,00:00:15,human,f
15,0,screw_in,00:00:15,human,f
16,8,take_box,00:00:00.14,robot,t
