action_no,action_id,action_name,default_time,user_type,prev_dependent
0,22,bring_seat_top,00:00:24,robot,f
5,23,bring_back_frame,00:00:24,robot,f
8,24,bring_back_slats,00:00:24,robot,f
13,25,bring_legs,00:00:15,robot,f
18,26,take_chair,00:00:01,robot,t
1,20,hammer,00:00:11,human,t
2,20,hammer,00:00:11,human,f
3,20,hammer,00:00:11,human,f
4,20,hammer,00:00:11,human,f
6,2,allen_in,00:00:14.208333,human,t
7,2,allen_in,00:00:14.208333,human,f
9,0,screw_in,00:00:18.083333,human,t
10,0,screw_in,00:00:18.083333,human,f
11,0,screw_in,00:00:18.083333,human,f
12,0,screw_in,00:00:18.083333,human,f
14,18,hand_screw_in,00:00:09.770833,human,t
15,18,hand_screw_in,00:00:09.770833,human,f
16,18,hand_screw_in,00:00:09.770833,human,f
17,18,hand_screw_in,00:00:09.770833,human,f
